Jerry Stackhouse,34
2001,"['Derek Fisher', 'Robert Horry', 'Raja Bell', 'Rodney Buford', 'Matt Geiger', 'Tyrone Hill', 'Allen Iverson', 'Jumaine Jones', 'Toni Kukoč', 'George Lynch', 'Todd MacCulloch', 'Vernon Maxwell', 'Aaron McKie', 'Dikembe Mutombo', 'Kevin Ollie', 'Theo Ratliff', 'Pepe Sánchez', 'Eric Snow']"
2000,"['Derek Fisher', 'Robert Horry', 'Dale Davis']"
1999,"['Tim Duncan', 'Brandon Williams', 'Allan Houston', 'Kurt Thomas']"
1998,"['Toni Kukoč', 'Dickey Simpkins', 'Shandon Anderson', 'Jacque Vaughn']"
1997,"['Toni Kukoč', 'Dickey Simpkins', 'Shandon Anderson']"
1996,"['Toni Kukoč', 'Dickey Simpkins', 'Eric Snow']"
1995,"['Robert Horry', 'Vernon Maxwell', 'Anfernee Hardaway']"
1994,"['Robert Horry', 'Vernon Maxwell']"
1993,['Scott Williams']
1992,['Scott Williams']
1991,['Scott Williams']
Antawn Jamison,31
2021,['Chris Paul']
2020,"['Jared Dudley', 'Danny Green', 'Dwight Howard', 'LeBron James', 'JaVale McGee']"
2019,"['Danny Green', 'Jodie Meeks']"
2018,"['Omri Casspi', 'JaVale McGee', 'Nick Young', 'LeBron James', 'Tristan Thompson']"
2017,"['Matt Barnes', 'JaVale McGee', 'Anderson Varejão', 'Mike Dunleavy', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson']"
2016,"['Kyrie Irving', 'LeBron James', 'Tristan Thompson', 'Anderson Varejão', 'Mo Williams']"
2015,"['Brendan Haywood', 'Kyrie Irving', 'LeBron James', 'Mike Miller', 'Tristan Thompson', 'Anderson Varejão']"
2014,"['Danny Green', 'LeBron James', 'Roger Mason']"
2013,"['LeBron James', 'Mike Miller', 'Danny Green', 'Stephen Jackson']"
2012,"['LeBron James', 'Mike Miller']"
2011,"['Caron Butler', 'Brendan Haywood', 'Dirk Nowitzki', 'DeShawn Stevenson', 'Erick Dampier', 'Zydrunas Ilgauskas', 'LeBron James', 'Mike Miller']"
2010,"['Kobe Bryant', 'Pau Gasol', 'Sasha Vujačić', 'Luke Walton', 'Metta World Peace', 'Marquis Daniels', 'Michael Finley', 'Lester Hudson']"
2009,"['Kobe Bryant', 'Pau Gasol', 'Sasha Vujačić', 'Luke Walton', 'Adonal Foyle', 'Dwight Howard', 'J.J. Redick', 'Hedo Türkoğlu']"
2008,"['Leon Powe', 'Kwame Brown', 'Kobe Bryant', 'Javaris Crittenton', 'Pau Gasol', 'Sasha Vujačić', 'Luke Walton']"
2007,"['Michael Finley', 'Fabricio Oberto', 'Daniel Gibson', 'Larry Hughes', 'Zydrunas Ilgauskas', 'LeBron James', 'Damon Jones', 'Donyell Marshall', 'Anderson Varejão']"
2006,"[""Shaquille O'Neal"", 'Antoine Walker', 'Erick Dampier', 'Marquis Daniels', 'Josh Howard', 'Dirk Nowitzki']"
2005,['Mike Wilks']
2004,"['Chucky Atkins', 'Mike James', 'Bob Sura', 'Kobe Bryant', ""Shaquille O'Neal"", 'Luke Walton']"
2003,['Stephen Jackson']
2002,"['Kobe Bryant', ""Shaquille O'Neal"", 'Samaki Walker']"
2001,"['Kobe Bryant', ""Shaquille O'Neal""]"
2000,"['Kobe Bryant', 'Sam Jacobson', ""Shaquille O'Neal"", 'Travis Best', 'Chris Mullin']"
1999,['Antonio Daniels']
1998,"['Jason Caffey', 'Adam Keefe']"
1997,"['Jason Caffey', 'Adam Keefe']"
1996,['Jason Caffey']
1995,"['Chucky Brown', ""Shaquille O'Neal""]"
1994,['John Starks']
1993,['Scott Williams']
1992,['Scott Williams']
